id,products,productsVariants,productsVariantsIds,total,createdAt,scannedAt
3914,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Volwassen,Volwassen,Kinderen,Kinderen,Volwassen,Volwassen,Kinderen,Kinderen","185,185,185,185,186,186,186,186,186,186,187,187,188,188,183,183,184,184",70.00,"2024-11-05 02:47:08.222295","2024-11-28 23:16:12.663318,2024-11-28 23:16:12.195504,2024-11-28 23:15:57.177992,2024-11-28 23:16:32.127625,2024-11-28 23:16:31.657279,2024-11-28 23:16:26.462908,2024-11-28 23:16:25.995159,2024-11-28 23:15:48.369944,2024-11-28 23:10:19.534934,2024-11-28 23:10:46.120072,2024-11-28 23:10:38.908141,2024-11-28 23:10:12.965145,2024-11-28 21:23:54.646311,2024-11-28 21:24:02.346783,2024-11-28 21:24:15.713360,2024-11-28 21:24:22.368974"
3915,Carrousel,Kinderen,153,3.50,"2024-11-05 14:00:51.546120",NULL
3920,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen","183,183,183,183",32.00,"2024-11-06 14:57:17.795475","2024-12-23 21:41:10.962311,2024-12-23 21:41:19.948353,2024-12-23 21:41:27.474027,2024-12-23 21:41:35.225921"
3935,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","185,185,185,185,187,187",24.00,"2024-11-08 16:43:11.359177","2024-12-07 23:26:57.406228,2024-12-07 23:26:57.391321,2024-12-07 23:26:35.119475,2024-12-07 23:18:36.959502,2024-12-07 23:18:25.366710"
3937,"Schaatsverhuur,Entree schaatsbaan,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen","187,185,183,183",28.00,"2024-11-09 03:33:34.194277",NULL
3939,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen","183,183,183,183",32.00,"2024-11-09 23:55:18.954050","2024-12-24 14:45:11.376983,2024-12-24 14:45:20.991672,2024-12-24 14:45:29.261490,2024-12-24 14:45:36.586470"
3948,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen","183,183,183,183",32.00,"2024-11-12 22:05:06.288999",NULL
3949,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-12 22:51:23.788871","2024-12-22 00:31:49.007429,2024-12-22 00:31:42.825919"
3951,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","185,185,185,185,187,187,187,187",48.00,"2024-11-13 00:25:00.702966","2024-12-25 17:34:50.214297,2024-12-25 17:34:34.398315,2024-12-25 17:34:42.826199,2024-12-25 17:34:27.498412,2024-12-25 17:20:50.563091,2024-12-25 17:20:45.884648,2024-12-25 17:20:39.913332,2024-12-25 17:20:34.426712"
3962,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Kinderen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Kinderen,Volwassen,Volwassen,Volwassen,Kinderen","185,185,185,186,187,187,187,187,187,188,183,183,183,184",75.00,"2024-11-14 16:46:31.830247","2024-12-21 20:54:30.291837,2024-12-21 20:40:56.073488,2024-12-21 20:40:46.302562,2024-12-21 20:40:37.941557,2024-12-21 20:26:02.592007,2024-12-21 20:26:02.574922,2024-12-21 20:26:02.107275,2024-12-21 20:25:41.290504,2024-12-21 20:25:54.502880,2024-12-21 20:25:30.024007,2024-12-21 21:23:28.327977,2024-12-21 21:23:19.917965,2024-12-21 21:23:11.428094,2024-12-21 21:23:03.422017"
