id,products,productsVariants,productsVariants,total,createdAt,scannedAt
366,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","143,143,143,143,143,143,143,143,143,143,143,143",24.00,2023-11-15 12:48:57.429747,"2023-12-26 15:54:54.242041,2023-12-26 17:26:52.561858,2023-12-26 17:26:52.570306,2023-12-26 15:55:01.747706,2023-12-26 17:14:15.892391,2023-12-26 17:14:15.905726,2023-12-26 15:55:17.130965,2023-12-26 17:14:04.513049,2023-12-26 17:14:04.539045,2023-12-26 15:55:10.452647,2023-12-26 17:14:09.660314,2023-12-26 17:14:09.675978"
368,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","143,143,148,148,150,150",40.00,2023-11-15 17:14:45.321745,"2023-12-12 23:25:13.536736,2023-12-12 23:24:54.484423,2023-12-12 23:21:24.795361,2023-12-12 23:20:33.658740,2023-12-12 23:01:58.220487,2023-12-12 23:02:08.832047"
369,"Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen","143,143",12.00,2023-11-15 19:40:13.303316,"2023-12-06 15:47:01.478236,2023-12-06 15:47:11.350068"
373,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur","Volwassen,Volwassen,Volwassen","143,143,148",18.00,2023-11-17 13:23:57.203043,"2023-12-25 18:54:11.548667,2023-12-25 18:45:28.989683"
374,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-17 17:32:16.071728,"2023-12-02 22:53:02.116135,2023-12-02 22:52:57.964418"
375,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","150,150,150,150,150,150",88.00,2023-11-18 13:18:36.042082,"2023-12-10 16:14:49.036132,2023-12-10 16:15:03.614705,2023-12-10 16:14:54.853011,2023-12-10 16:15:12.976373,2023-12-10 16:14:59.195101,2023-12-10 16:14:42.581828"
376,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-18 15:51:01.367229,NULL
379,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-19 18:47:10.326191,"2023-12-03 21:00:55.149665,2023-12-03 21:00:59.390422"
386,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-20 18:43:27.734991,"2023-12-28 00:20:52.134252,2023-12-28 00:20:58.897958"
392,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","143,143,143,143,143,148,148,148,148,148",60.00,2023-11-21 01:37:30.566976,"2023-12-02 16:19:04.868861,2023-12-02 16:20:32.341427,2023-12-02 16:20:27.637297,2023-12-02 16:19:15.701765,2023-12-02 16:08:36.013070"
393,"Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen","150,150,150",16.00,2023-11-21 11:29:43.795938,"2023-12-02 15:52:58.890413,2023-12-02 15:53:08.334488"
402,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Carrousel","Volwassen,Volwassen,Volwassen,Kinderen,Kinderen","150,150,150,161,153",35.50,2023-11-22 18:46:55.633200,NULL
403,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-22 18:51:17.896693,"2023-12-23 18:08:49.772377,2023-12-23 18:08:57.146391"
404,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen","150,150,150,150",32.00,2023-11-23 13:06:13.030549,"2023-12-11 18:20:02.838372,2023-12-11 18:20:14.267707,2023-12-11 18:20:21.986182,2023-12-11 18:20:09.814425"
406,"Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen","148,148",12.00,2023-11-23 20:53:48.696028,NULL
407,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-24 01:55:33.749064,"2023-12-19 23:15:35.319947,2023-12-19 23:15:53.512413"
414,Schaatsverhuur,Kinderen,149,0.23,2023-11-24 03:48:44.388266,NULL
417,"Reuzenrad ",Volwassen,150,5.60,2023-11-24 04:06:19.508053,NULL
422,Schaatsverhuur,Kinderen,149,4.50,2023-11-24 04:12:10.953027,NULL
423,"Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","148,148,148,148,148,148",36.00,2023-11-24 17:13:20.499315,NULL
425,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",11.20,2023-11-24 18:33:44.246925,"2023-12-31 18:31:41.485889,2023-12-31 18:31:48.698578"
426,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",11.20,2023-11-24 19:04:20.715417,"2023-12-13 21:56:30.742572,2023-12-13 21:56:17.201581"
429,"Carrousel,Carrousel,Carrousel,Carrousel","Kinderen,Kinderen,Kinderen,Kinderen","153,153,153,153",58.10,2023-11-24 19:40:58.479089,"2023-12-26 22:21:13.578373,2023-12-26 22:21:29.274194,2023-12-26 22:20:46.408927,2023-12-26 22:20:32.947722"
436,"Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen","148,148",8.40,2023-11-24 21:05:44.673683,NULL
438,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",11.20,2023-11-24 21:47:25.778166,"2023-12-15 23:49:01.865995,2023-12-15 23:49:07.246474"
440,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen","150,150,150,150",22.40,2023-11-24 23:00:20.392182,"2023-12-25 17:14:33.808657,2023-12-25 17:14:41.762800,2023-12-25 17:14:49.377713,2023-12-25 17:14:57.262134"
