date,deal_variant_key,Final_Forecast
2025-11-06,magisch kids pakket_alle dagen geldig,23.790927095976922
2025-11-06,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),23.78619185636893
2025-11-06,magisch kids pakket_niet geldig op woensdag,25.767259334720574
2025-11-06,magisch vrijthof pakket_alle dagen geldig,22.76266378038887
2025-11-06,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,26.744065432040113
2025-11-06,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),25.00999336397591
2025-11-06,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),18.179522605330565
2025-11-06,magisch vrijthof pakket_magisch vrijthof,23.317041494373868
2025-11-06,magisch vrijthof pakket_magisch vrijthof pakket,23.575649590924804
2025-11-06,magisch vrijthof pakket_niet geldig op woensdag,24.99210173854859
2025-11-06,magisch vrijthof pakket_weekend,24.116156868250783
2025-11-06,magisch vrijthof_magisch vrijthof,23.758266395662066
2025-11-06,magisch vrijthof_magisch vrijthof pakket,23.79126887319075
2025-11-06,magische fijnproevers_alle dagen geldig,21.978730622527312
2025-11-06,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),29.39602412448288
2025-11-06,soort pakket_basis,29.435393364351583
2025-11-06,soort pakket_standaard,29.476005471126435
2025-11-07,carrousel (5 tickets)_5 tickets,21.299083259063565
2025-11-07,carrousel (5 tickets)_alle dagen geldig,19.58219412188224
2025-11-07,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),22.836830590995962
2025-11-07,kids pakket_alle dagen geldig,24.995793236523024
2025-11-07,kids pakket_magisch vrijthof pakket,23.987599604669857
2025-11-07,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),27.222704078688345
2025-11-07,magisch kids pakket_5 tickets,25.588236165023726
2025-11-07,magisch kids pakket_alle dagen geldig,25.892196897376248
2025-11-07,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),25.714016940971494
2025-11-07,magisch kids pakket_niet geldig op woensdag,28.470815925605347
2025-11-07,magisch vrijthof pakket_alle dagen geldig,26.705186397320777
2025-11-07,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,29.132444882269816
2025-11-07,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),28.853864591190096
2025-11-07,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),26.731822726300667
2025-11-07,magisch vrijthof pakket_magisch vrijthof,26.310011970832676
2025-11-07,magisch vrijthof pakket_magisch vrijthof pakket,26.409476459014158
2025-11-07,magisch vrijthof pakket_niet geldig op woensdag,26.860431687263667
2025-11-07,magisch vrijthof pakket_weekend,26.396481906393415
2025-11-07,magisch vrijthof_magisch vrijthof,25.387160444010075
2025-11-07,magisch vrijthof_magisch vrijthof pakket,25.230216730342246
2025-11-07,magische fijnproevers_alle dagen geldig,25.675236874893475
2025-11-07,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),32.743290099258424
2025-11-07,soort pakket_basis,32.790196734969044
2025-11-07,soort pakket_standaard,32.83543747473037
2025-11-10,carrousel (5 tickets)_5 tickets,22.69281456072069
2025-11-10,carrousel (5 tickets)_alle dagen geldig,21.52978771734091
2025-11-10,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),22.950685925034307
2025-11-10,kids pakket_alle dagen geldig,23.652217119023256
2025-11-10,kids pakket_magisch vrijthof pakket,23.182606631216686
2025-11-10,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),23.556924905667707
2025-11-10,magisch kids pakket_5 tickets,23.93004946116311
2025-11-10,magisch kids pakket_alle dagen geldig,23.79828873546163
2025-11-10,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),24.262072381592226
2025-11-10,magisch kids pakket_niet geldig op woensdag,32.615779554908926
2025-11-10,magisch vrijthof pakket_alle dagen geldig,28.12970520169578
2025-11-10,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,22.292726572535273
2025-11-10,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),26.9374478144782
2025-11-10,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),30.97564889965422
2025-11-10,magisch vrijthof pakket_magisch vrijthof,22.894549368488118
2025-11-10,magisch vrijthof pakket_magisch vrijthof pakket,22.264244693480347
2025-11-10,magisch vrijthof pakket_niet geldig op woensdag,23.152447767010802
2025-11-10,magisch vrijthof pakket_weekend,21.941628340204673
2025-11-10,magisch vrijthof_magisch vrijthof,23.89156152136596
2025-11-10,magisch vrijthof_magisch vrijthof pakket,23.84932708084105
2025-11-10,magische fijnproevers_alle dagen geldig,26.17725853573738
2025-11-10,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),34.99870920353722
2025-11-10,soort pakket_basis,35.06355580144964
2025-11-10,soort pakket_standaard,35.11193310201729
2025-11-11,carrousel (5 tickets)_5 tickets,23.312004009534785
2025-11-11,carrousel (5 tickets)_alle dagen geldig,22.10769066228782
2025-11-11,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),24.392810864601593
2025-11-11,kids pakket_alle dagen geldig,24.824496457249126
2025-11-11,kids pakket_magisch vrijthof pakket,24.16115255268354
2025-11-11,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),24.73394965609252
2025-11-11,magisch kids pakket_5 tickets,25.047865830428872
2025-11-11,magisch kids pakket_alle dagen geldig,25.478865963126637
2025-11-11,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),25.67213257080046
2025-11-11,magisch kids pakket_niet geldig op woensdag,28.075284943901924
2025-11-11,magisch vrijthof pakket_alle dagen geldig,22.991972445689335
2025-11-11,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,19.900401264601133
