curlingtracks,slotDates,baseline,growth_rate,final_forecast
Street Curlingbaan 1,2025-11-03,39.91117066592463,0.11247240713084175,50.39342175440861
Street Curlingbaan 2,2025-11-03,39.913361894972624,0.14704285838459497,45.782336715748166
Street Curlingbaan 1,2025-11-04,39.911700372950115,0.11247240713084175,50.39409058343808
Street Curlingbaan 2,2025-11-04,39.91402888565635,0.14704285838459497,45.783101782648544
Street Curlingbaan 1,2025-11-05,39.91214881587851,0.11247240713084175,50.394656805206225
Street Curlingbaan 2,2025-11-05,39.91377494211392,0.14704285838459497,45.78281049852176
Street Curlingbaan 1,2025-11-06,39.91204210138947,0.11247240713084175,50.39452206327398
Street Curlingbaan 2,2025-11-06,39.913742231235446,0.14704285838459497,45.78277297774222
Street Curlingbaan 1,2025-11-07,39.912016124754736,0.11247240713084175,50.39448926414812
Street Curlingbaan 2,2025-11-07,39.913724019018254,0.14704285838459497,45.78275208754856
Street Curlingbaan 1,2025-11-10,39.9120796420896,0.11247240713084175,50.39456946364594
Street Curlingbaan 2,2025-11-10,39.91365311273276,0.14704285838459497,45.78267075500017
Street Curlingbaan 1,2025-11-11,39.91246165695823,0.11247240713084175,50.395051810719956
Street Curlingbaan 2,2025-11-11,39.91422310577987,0.14704285838459497,45.78332456145418
Street Curlingbaan 1,2025-11-12,39.91249937116615,0.11247240713084175,50.3950994301697
Street Curlingbaan 2,2025-11-12,39.91416765259655,0.14704285838459497,45.78326095427628
Street Curlingbaan 1,2025-11-13,39.912410255251146,0.11247240713084175,50.394986908892704
Street Curlingbaan 2,2025-11-13,39.91412957208291,0.14704285838459497,45.78321727429507
Street Curlingbaan 1,2025-11-14,39.91243900271672,0.11247240713084175,50.39502320657911
Street Curlingbaan 2,2025-11-14,39.91422540779165,0.14704285838459497,45.783327201960354
Street Curlingbaan 1,2025-11-17,39.912252261211094,0.11247240713084175,50.39478741937229
Street Curlingbaan 2,2025-11-17,39.913832628594115,0.14704285838459497,45.7828766673869
Street Curlingbaan 1,2025-11-18,39.91256644957205,0.11247240713084175,50.39518412601657
