curlingtracks,slotDates,baseline,growth_rate,final_forecast
Street Curlingbaan 1,2025-11-03,38.60869067166285,0.11247240713084175,46.35525954179001
Street Curlingbaan 2,2025-11-03,47.97959390065962,0.14704285838459497,55.03465053194469
Street Curlingbaan 1,2025-11-04,42.39875940789672,0.11247240713084175,50.905779564430766
Street Curlingbaan 2,2025-11-04,40.33183318620335,0.14704285838459497,46.26234122179335
Street Curlingbaan 1,2025-11-05,32.1979212063731,0.11247240713084175,38.65821317071996
Street Curlingbaan 2,2025-11-05,32.198872810966684,0.14704285838459497,36.933487105853246
Street Curlingbaan 1,2025-11-06,29.90136935927059,0.11247240713084175,35.900873953263684
Street Curlingbaan 2,2025-11-06,41.64371250166238,0.14704285838459497,47.7671230216531
Street Curlingbaan 1,2025-11-07,37.25216605719555,0.11247240713084175,44.72655757120982
Street Curlingbaan 2,2025-11-07,38.78563069270138,0.14704285838459497,44.48878069400547
Street Curlingbaan 1,2025-11-10,27.39434364539662,0.11247240713084175,32.89083073183258
Street Curlingbaan 2,2025-11-10,40.26653612111576,0.14704285838459497,46.18744268961116
Street Curlingbaan 1,2025-11-11,39.90728100877596,0.11247240713084175,47.91440311978036
Street Curlingbaan 2,2025-11-11,31.171799817238636,0.14704285838459497,35.7553903633578
Street Curlingbaan 1,2025-11-12,32.206923500515074,0.11247240713084175,38.66902171341237
Street Curlingbaan 2,2025-11-12,32.23158703193986,0.14704285838459497,36.97101171938814
Street Curlingbaan 1,2025-11-13,35.81864823591656,0.11247240713084175,43.00541423515929
Street Curlingbaan 2,2025-11-13,39.24815561506002,0.14704285838459497,45.01931660302184
Street Curlingbaan 1,2025-11-14,39.895555516776426,0.11247240713084175,47.90032498826545
Street Curlingbaan 2,2025-11-14,37.588822936224304,0.14704285838459497,43.11599090407914
Street Curlingbaan 1,2025-11-17,51.23312236631028,0.11247240713084175,61.5126968335576
Street Curlingbaan 2,2025-11-17,41.96916726271667,0.14704285838459497,48.14043358104769
Street Curlingbaan 1,2025-11-18,46.809449679231896,0.11247240713084175,56.201444574802494
Street Curlingbaan 2,2025-11-18,48.327118138626865,0.14704285838459497,55.43327572722056
Street Curlingbaan 1,2025-11-19,51.85562111389611,0.11247240713084175,62.26009568357764
Street Curlingbaan 2,2025-11-19,58.80653657944662,0.14704285838459497,67.45361780978669
Street Curlingbaan 1,2025-11-20,47.6453402767671,0.11247240713084175,57.20505088527823
Street Curlingbaan 2,2025-11-20,54.46109693178653,0.14704285838459497,62.46921229539691
Street Curlingbaan 1,2025-11-21,57.133264850512006,0.11247240713084175,68.59666242344619
Street Curlingbaan 2,2025-11-21,45.103077975438694,0.14704285838459497,51.73516348289047
Street Curlingbaan 1,2025-11-24,60.37189127373006,0.11247240713084175,72.48509701668038
Street Curlingbaan 2,2025-11-24,50.253662301642365,0.14704285838459497,57.64310445077002
Street Curlingbaan 1,2025-11-25,46.991962958507,0.11247240713084175,56.420577891251135
Street Curlingbaan 2,2025-11-25,67.10250244996008,0.14704285838459497,76.9694462149615
Street Curlingbaan 1,2025-11-26,65.78074336501612,0.11247240713084175,78.97919816729888
Street Curlingbaan 2,2025-11-26,62.2912719402934,0.14704285838459497,71.45075861880625
Street Curlingbaan 1,2025-11-27,49.44481556232666,0.11247240713084175,59.36557853980377
Street Curlingbaan 2,2025-11-27,45.00291073943837,0.14704285838459497,51.62026737019217
Street Curlingbaan 1,2025-11-28,55.317991191852876,0.11247240713084175,66.41716656065903
Street Curlingbaan 2,2025-11-28,50.28442289332899,0.14704285838459497,57.67838816778384
Street Curlingbaan 1,2025-12-01,31.137928800158903,0.11247240713084175,37.385540561326096
Street Curlingbaan 2,2025-12-01,36.61339558909523,0.14704285838459497,41.99713393168171
Street Curlingbaan 1,2025-12-02,28.287010654721097,0.11247240713084175,33.96260525155232
Street Curlingbaan 2,2025-12-02,40.45276754103588,0.14704285838459497,46.401058109837365
Street Curlingbaan 1,2025-12-03,29.823796008801715,0.11247240713084175,35.80773604229199
Street Curlingbaan 2,2025-12-03,35.155345754457265,0.14704285838459497,40.32468828169139
Street Curlingbaan 1,2025-12-04,29.132872817842618,0.11247240713084175,34.97818385382947
Street Curlingbaan 2,2025-12-04,31.75938475054461,0.14704285838459497,36.4293754648008
Street Curlingbaan 1,2025-12-05,30.88384541629516,0.11247240713084175,37.08047708988067
Street Curlingbaan 2,2025-12-05,26.49581933017061,0.14704285838459497,30.3918403397207
Street Curlingbaan 1,2025-12-08,33.70837809509935,0.11247240713084175,40.47173287018441
Street Curlingbaan 2,2025-12-08,31.50110126027019,0.14704285838459497,36.13311323184288
Street Curlingbaan 1,2025-12-09,33.84969338534745,0.11247240713084175,40.64140210378735
Street Curlingbaan 2,2025-12-09,33.335434907842135,0.14704285838459497,38.237172542184844
Street Curlingbaan 1,2025-12-10,30.750245941251894,0.11247240713084175,36.92007179686142
Street Curlingbaan 2,2025-12-10,34.58510533223075,0.14704285838459497,39.67059807781424
Street Curlingbaan 1,2025-12-11,25.689848441149845,0.11247240713084175,30.844340260230357
Street Curlingbaan 2,2025-12-11,27.01217263609278,0.14704285838459497,30.984119711682
Street Curlingbaan 1,2025-12-12,26.357807035835364,0.11247240713084175,31.646320163748356
Street Curlingbaan 2,2025-12-12,29.967699070854778,0.14704285838459497,34.37423520144263
Street Curlingbaan 1,2025-12-15,43.93873583971573,0.11247240713084175,52.75474170076149
Street Curlingbaan 2,2025-12-15,41.780806048020295,0.14704285838459497,47.92437519493357
Street Curlingbaan 1,2025-12-16,54.738500905070055,0.11247240713084175,65.72140552399999
Street Curlingbaan 2,2025-12-16,45.60528818470477,0.14704285838459497,52.31122011683694
Street Curlingbaan 1,2025-12-17,46.22340286322638,0.11247240713084175,55.497811486319804
Street Curlingbaan 2,2025-12-17,51.528176060159204,0.14704285838459497,59.10502635538966
Street Curlingbaan 1,2025-12-18,45.16842463300624,0.11247240713084175,54.23115911292848
Street Curlingbaan 2,2025-12-18,59.11966814442475,0.14704285838459497,67.81279313512965
Street Curlingbaan 1,2025-12-19,45.25027707601795,0.11247240713084175,54.329434687000784
Street Curlingbaan 2,2025-12-19,65.1502891493744,0.14704285838459497,74.73017389048125
Street Curlingbaan 1,2025-12-22,57.6825359042014,0.11247240713084175,69.25614094524056
Street Curlingbaan 2,2025-12-22,45.749902096489244,0.14704285838459497,52.47709847157238
Street Curlingbaan 1,2025-12-23,41.72926435309677,0.11247240713084175,50.10195492061877
Street Curlingbaan 2,2025-12-23,58.58262484669491,0.14704285838459497,67.19678145582532
Street Curlingbaan 1,2025-12-24,55.83191410253142,0.11247240713084175,67.03420457708835
Street Curlingbaan 2,2025-12-24,56.288935310520436,0.14704285838459497,64.56582125400492
Street Curlingbaan 1,2025-12-25,56.17956569587779,0.11247240713084175,67.45161007723176
Street Curlingbaan 2,2025-12-25,42.04491530960847,0.14704285838459497,48.22731983727151
Street Curlingbaan 1,2025-12-26,46.60329906667121,0.11247240713084175,55.95393125633186
Street Curlingbaan 2,2025-12-26,41.809529839865654,0.14704285838459497,47.95732261523552
Street Curlingbaan 1,2025-12-29,49.4666988213579,0.11247240713084175,59.39185252460788
Street Curlingbaan 2,2025-12-29,45.3237266760761,0.14704285838459497,51.988256999168435
Street Curlingbaan 1,2025-12-30,38.28325375887489,0.11247240713084175,45.96452594543325
Street Curlingbaan 2,2025-12-30,33.8928494202258,0.14704285838459497,38.87655087777447
Street Curlingbaan 1,2025-12-31,35.98285676802905,0.11247240713084175,43.202570082524964
Street Curlingbaan 2,2025-12-31,36.2042192636015,0.14704285838459497,41.52779114970408
