createdAt,product_core,variant_id,year,month,weekofyear,dayofweek,day,hour,is_weekend,is_month_start,is_month_end,product_core_le,variant_id_le,lag_7d,lag_30d,lag_90d,lag_365d,rolling_mean_7d,rolling_mean_30d,rolling_mean_90d,ytd_cumsum,revenue_growth_rate,product_x_year,product_x_month,variant_x_year,variant_x_month,product_x_weekofyear,forecast
2025-12-08,Entree schaatsbaan,153,2025,12,50,0,8,12,0,0,0,1,5,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,10125,60,50,13.600824978024852
2025-12-08,Entree schaatsbaan,159,2025,12,50,0,8,12,0,0,0,1,6,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,12150,72,50,13.643867718771327
2025-12-08,Entree schaatsbaan,161,2025,12,50,0,8,12,0,0,0,1,7,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,14175,84,50,13.64470849787507
2025-12-08,Entree schaatsbaan,183,2025,12,50,0,8,12,0,0,0,1,8,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,16200,96,50,13.639983081930039
2025-12-08,Entree schaatsbaan,184,2025,12,50,0,8,12,0,0,0,1,9,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,18225,108,50,13.669152385632616
2025-12-08,Entree schaatsbaan,185,2025,12,50,0,8,12,0,0,0,1,10,3.690563624449792,3.690563624449792,3.690563624449792,3.694188872181776,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,20250,120,50,13.988543375424364
2025-12-08,Entree schaatsbaan,186,2025,12,50,0,8,12,0,0,0,1,11,3.287984825657672,3.287984825657672,3.287984825657672,3.284051501012644,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,22275,132,50,14.893598338711207
2025-12-08,Entree schaatsbaan,187,2025,12,50,0,8,12,0,0,0,1,12,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,24300,144,50,13.408836463359776
2025-12-08,Entree schaatsbaan,188,2025,12,50,0,8,12,0,0,0,1,13,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,26325,156,50,13.360181901215677
2025-12-08,Handschoenen,143,2025,12,50,0,8,12,0,0,0,2,0,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,0,0,100,10.256810032134009
2025-12-08,Handschoenen,144,2025,12,50,0,8,12,0,0,0,2,1,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,2025,12,100,10.144878609116043
2025-12-08,Handschoenen,148,2025,12,50,0,8,12,0,0,0,2,2,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,4050,24,100,10.192890790728589
2025-12-08,Handschoenen,149,2025,12,50,0,8,12,0,0,0,2,3,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,6075,36,100,9.945952538420052
2025-12-08,Handschoenen,150,2025,12,50,0,8,12,0,0,0,2,4,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,8100,48,100,10.017150155226522
2025-12-08,Handschoenen,153,2025,12,50,0,8,12,0,0,0,2,5,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,10125,60,100,10.042222986637643
2025-12-08,Handschoenen,159,2025,12,50,0,8,12,0,0,0,2,6,4.5,,4.5,5.0,4.5,4.5,4.5,0.0,-1.0,4050,24,12150,72,100,10.01428334801277
